season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,HF,AF,HY,AY,HR,AR
10_season,Aston Villa,West Ham,3,0,H,M Dean,15,15,1,2,0,0
10_season,Blackburn,Everton,1,0,H,P Dowd,19,14,2,1,0,0
10_season,Bolton,Fulham,0,0,D,S Attwell,12,13,1,3,0,0
10_season,Chelsea,West Brom,6,0,H,M Clattenburg,10,10,1,0,0,0
10_season,Sunderland,Birmingham,2,2,D,A Taylor,13,10,3,3,1,0
10_season,Tottenham,Man City,0,0,D,A Marriner,13,16,0,2,0,0
10_season,Wigan,Blackpool,0,4,A,M Halsey,8,11,1,1,0,0
10_season,Wolves,Stoke,2,1,H,L Probert,17,13,0,2,0,0
10_season,Liverpool,Arsenal,1,1,D,M Atkinson,13,15,1,3,1,1
10_season,Man United,Newcastle,3,0,H,C Foy,9,5,2,2,0,0
10_season,Arsenal,Blackpool,6,0,H,M Jones,9,3,0,0,0,1
10_season,Birmingham,Blackburn,2,1,H,M Oliver,13,14,2,3,0,0
10_season,Everton,Wolves,1,1,D,L Mason,18,15,1,2,0,0
10_season,Stoke,Tottenham,1,2,A,C Foy,15,4,3,1,0,0
10_season,West Brom,Sunderland,1,0,H,K Friend,16,12,2,2,0,0
10_season,West Ham,Bolton,1,3,A,A Marriner,11,18,2,4,0,0
10_season,Wigan,Chelsea,0,6,A,M Dean,12,7,1,2,0,0
10_season,Fulham,Man United,2,2,D,P Walton,7,6,2,2,0,0
10_season,Newcastle,Aston Villa,6,0,H,M Atkinson,15,12,3,1,0,0
10_season,Man City,Liverpool,3,0,H,P Dowd,13,12,1,1,0,0
10_season,Blackburn,Arsenal,1,2,A,C Foy,9,7,1,0,0,0
10_season,Blackpool,Fulham,2,2,D,M Oliver,13,16,1,0,0,0
10_season,Chelsea,Stoke,2,0,H,M Atkinson,5,10,0,2,0,0
10_season,Man United,West Ham,3,0,H,M Clattenburg,6,11,1,2,0,0
10_season,Tottenham,Wigan,0,1,A,P Dowd,10,11,3,2,0,0
10_season,Wolves,Newcastle,1,1,D,S Attwell,20,17,7,4,0,0
10_season,Aston Villa,Everton,1,0,H,M Jones,19,10,4,0,0,0
10_season,Bolton,Birmingham,2,2,D,K Friend,19,17,2,3,1,0
10_season,Liverpool,West Brom,1,0,H,L Probert,9,8,0,0,0,1
10_season,Sunderland,Man City,1,0,H,M Dean,5,9,0,3,0,0
10_season,Arsenal,Bolton,4,1,H,S Attwell,11,11,2,2,0,1
10_season,Everton,Man United,3,3,D,M Atkinson,11,18,1,1,0,0
10_season,Fulham,Wolves,2,1,H,P Dowd,9,17,3,6,0,1
10_season,Man City,Blackburn,1,1,D,M Clattenburg,12,10,2,1,0,0
10_season,Newcastle,Blackpool,0,2,A,L Mason,15,14,2,3,0,0
10_season,West Brom,Tottenham,1,1,D,H Webb,12,9,2,1,0,0
10_season,West Ham,Chelsea,1,3,A,C Foy,13,10,2,2,0,0
10_season,Wigan,Sunderland,1,1,D,A Marriner,19,11,4,2,0,1
10_season,Birmingham,Liverpool,0,0,D,M Halsey,8,9,1,0,0,0
10_season,Stoke,Aston Villa,2,1,H,L Probert,11,14,1,2,0,0
10_season,Aston Villa,Bolton,1,1,D,M Dean,15,8,1,2,0,0
10_season,Blackburn,Fulham,1,1,D,A Taylor,15,10,0,1,0,0
10_season,Everton,Newcastle,0,1,A,A Marriner,15,21,2,3,0,0
10_season,Stoke,West Ham,1,1,D,L Mason,14,8,3,2,0,0
10_season,Sunderland,Arsenal,1,1,D,P Dowd,11,13,2,2,0,1
10_season,Tottenham,Wolves,3,1,H,M Jones,7,11,3,3,0,0
10_season,West Brom,Birmingham,3,1,H,C Foy,11,8,1,1,0,0
10_season,Chelsea,Blackpool,4,0,H,M Clattenburg,7,4,1,2,0,0
10_season,Man United,Liverpool,3,2,H,H Webb,15,10,4,1,0,0
10_season,Wigan,Man City,0,2,A,L Probert,10,14,1,2,0,0
10_season,Arsenal,West Brom,2,3,A,M Oliver,15,14,4,3,0,0
10_season,Birmingham,Wigan,0,0,D,M Clattenburg,12,18,2,3,1,0
10_season,Blackpool,Blackburn,1,2,A,M Dean,12,11,2,1,0,0
10_season,Fulham,Everton,0,0,D,H Webb,15,13,2,1,0,0
10_season,Liverpool,Sunderland,2,2,D,S Attwell,15,7,3,1,0,0
10_season,Man City,Chelsea,1,0,H,A Marriner,10,12,2,3,0,0
10_season,West Ham,Tottenham,1,0,H,M Atkinson,10,11,2,0,0,0
10_season,Bolton,Man United,2,2,D,P Dowd,16,18,1,2,0,0
10_season,Newcastle,Stoke,1,2,A,M Jones,8,11,0,1,0,0
10_season,Wolves,Aston Villa,1,2,A,M Halsey,15,19,1,2,0,0
10_season,Birmingham,Everton,0,2,A,P Dowd,5,11,0,0,0,0
10_season,Stoke,Blackburn,1,0,H,H Webb,8,13,2,3,0,0
10_season,Sunderland,Man United,0,0,D,C Foy,10,6,1,2,0,0
10_season,Tottenham,Aston Villa,2,1,H,M Clattenburg,12,19,1,3,0,0
10_season,West Brom,Bolton,1,1,D,P Walton,8,10,3,2,0,0
10_season,West Ham,Fulham,1,1,D,A Marriner,15,8,3,1,0,0
10_season,Wigan,Wolves,2,0,H,L Mason,9,12,1,2,0,1
10_season,Chelsea,Arsenal,2,0,H,M Dean,7,12,1,1,0,0
10_season,Liverpool,Blackpool,1,2,A,M Jones,11,10,2,1,0,0
10_season,Man City,Newcastle,2,1,H,M Atkinson,11,13,3,2,0,0
10_season,Arsenal,Birmingham,2,1,H,M Atkinson,16,9,2,2,1,0
10_season,Aston Villa,Chelsea,0,0,D,L Mason,11,11,4,3,0,0
10_season,Bolton,Stoke,2,1,H,P Walton,10,8,2,2,1,0
10_season,Fulham,Tottenham,1,2,A,M Dean,9,10,1,1,0,0
10_season,Man United,West Brom,2,2,D,M Jones,10,7,1,2,0,0
10_season,Newcastle,Wigan,2,2,D,M Halsey,13,14,2,1,0,0
10_season,Wolves,West Ham,1,1,D,M Clattenburg,10,8,0,1,0,0
10_season,Blackpool,Man City,2,3,A,P Dowd,9,9,0,2,0,0
10_season,Everton,Liverpool,2,0,H,H Webb,10,9,2,2,0,0
10_season,Blackburn,Sunderland,0,0,D,L Probert,12,11,2,1,1,0
10_season,Birmingham,Blackpool,2,0,H,A Taylor,8,16,1,1,0,0
10_season,Chelsea,Wolves,2,0,H,L Probert,8,8,1,2,0,0
10_season,Sunderland,Aston Villa,1,0,H,M Halsey,11,13,1,2,0,0
10_season,Tottenham,Everton,1,1,D,M Jones,15,14,3,1,0,0
10_season,West Brom,Fulham,2,1,H,K Friend,3,8,0,0,0,0
10_season,West Ham,Newcastle,1,2,A,C Foy,12,6,0,0,0,0
10_season,Wigan,Bolton,1,1,D,H Webb,8,14,0,2,0,0
10_season,Liverpool,Blackburn,2,1,H,P Dowd,17,12,2,3,0,0
10_season,Man City,Arsenal,0,3,A,M Clattenburg,11,10,2,4,1,0
10_season,Stoke,Man United,1,2,A,A Marriner,6,13,2,2,0,0
10_season,Arsenal,West Ham,1,0,H,M Jones,14,18,2,2,0,0
10_season,Blackburn,Chelsea,1,2,A,P Walton,12,14,2,2,0,0
10_season,Everton,Stoke,1,0,H,L Probert,16,14,1,1,0,0
10_season,Fulham,Wigan,2,0,H,A Marriner,7,12,0,0,0,0
10_season,Man United,Tottenham,2,0,H,M Clattenburg,12,10,0,3,0,0
10_season,Wolves,Man City,2,1,H,M Dean,5,14,1,2,0,0
10_season,Aston Villa,Birmingham,0,0,D,H Webb,13,11,2,3,0,0
10_season,Bolton,Liverpool,0,1,A,M Atkinson,15,13,2,2,0,0
10_season,Newcastle,Sunderland,5,1,H,P Dowd,8,18,3,6,0,1
10_season,Blackpool,West Brom,2,1,H,M Oliver,16,13,2,3,0,2
10_season,Birmingham,West Ham,2,2,D,M Oliver,12,14,0,1,0,0
10_season,Blackburn,Wigan,2,1,H,K Friend,16,15,0,2,0,0
10_season,Blackpool,Everton,2,2,D,A Marriner,14,12,2,1,0,0
10_season,Bolton,Tottenham,4,2,H,C Foy,13,9,1,0,0,0
10_season,Fulham,Aston Villa,1,1,D,P Walton,12,4,1,0,0,0
10_season,Man United,Wolves,2,1,H,P Dowd,6,11,1,0,0,0
10_season,Sunderland,Stoke,2,0,H,M Atkinson,10,13,0,5,0,0
10_season,Arsenal,Newcastle,0,1,A,M Dean,16,12,3,1,1,0
10_season,Liverpool,Chelsea,2,0,H,H Webb,15,17,0,2,0,0
10_season,West Brom,Man City,0,2,A,L Probert,15,16,3,4,1,1
10_season,Stoke,Birmingham,3,2,H,M Clattenburg,6,8,0,0,0,0
10_season,Tottenham,Sunderland,1,1,D,H Webb,6,15,2,1,0,0
10_season,Aston Villa,Blackpool,3,2,H,A Taylor,7,10,2,3,0,0
10_season,Chelsea,Fulham,1,0,H,M Atkinson,14,15,2,0,1,0
10_season,Everton,Bolton,1,1,D,P Dowd,8,12,0,3,1,0
10_season,Man City,Man United,0,0,D,C Foy,10,12,0,2,0,0
10_season,Newcastle,Blackburn,1,2,A,M Jones,16,15,3,4,0,0
10_season,West Ham,West Brom,2,2,D,M Dean,13,5,3,0,0,0
10_season,Wigan,Liverpool,1,1,D,P Walton,7,10,0,2,0,0
10_season,Wolves,Arsenal,0,2,A,M Halsey,7,14,1,2,0,0
10_season,Aston Villa,Man United,2,2,D,M Dean,11,9,3,4,0,0
10_season,Man City,Birmingham,0,0,D,M Jones,15,11,2,0,0,0
10_season,Newcastle,Fulham,0,0,D,L Probert,11,19,2,2,0,0
10_season,Stoke,Liverpool,2,0,H,M Halsey,14,10,2,3,0,1
10_season,Tottenham,Blackburn,4,2,H,A Marriner,11,11,2,2,0,0
10_season,West Ham,Blackpool,0,0,D,K Friend,7,7,0,1,0,0
10_season,Wigan,West Brom,1,0,H,A Taylor,13,13,1,1,0,0
10_season,Wolves,Bolton,2,3,A,P Walton,10,10,1,0,0,0
10_season,Chelsea,Sunderland,0,3,A,C Foy,9,13,1,2,0,0
10_season,Everton,Arsenal,1,2,A,H Webb,15,14,2,2,0,0
10_season,Arsenal,Tottenham,2,3,A,P Dowd,17,16,3,1,0,0
10_season,Birmingham,Chelsea,1,0,H,M Halsey,9,2,2,0,0,0
10_season,Blackpool,Wolves,2,1,H,M Clattenburg,7,9,0,2,0,0
10_season,Bolton,Newcastle,5,1,H,H Webb,13,9,0,2,0,1
10_season,Liverpool,West Ham,3,0,H,L Probert,8,8,0,1,0,0
10_season,Man United,Wigan,2,0,H,M Atkinson,10,14,0,2,0,2
10_season,West Brom,Stoke,0,3,A,C Foy,10,9,0,0,0,0
10_season,Blackburn,Aston Villa,2,0,H,M Oliver,15,10,0,1,0,0
10_season,Fulham,Man City,1,4,A,L Mason,13,16,2,1,0,0
10_season,Sunderland,Everton,2,2,D,P Walton,5,7,0,2,0,0
10_season,Aston Villa,Arsenal,2,4,A,M Clattenburg,10,7,1,1,0,0
10_season,Bolton,Blackpool,2,2,D,M Dean,8,14,2,2,0,0
10_season,Everton,West Brom,1,4,A,L Mason,11,18,1,3,1,1
10_season,Fulham,Birmingham,1,1,D,H Webb,10,9,1,0,0,0
10_season,Man United,Blackburn,7,1,H,L Probert,6,6,0,2,0,0
10_season,Stoke,Man City,1,1,D,P Walton,8,10,2,2,0,0
10_season,West Ham,Wigan,3,1,H,M Halsey,8,8,0,0,0,0
10_season,Wolves,Sunderland,3,2,H,M Jones,11,10,2,3,0,0
10_season,Newcastle,Chelsea,1,1,D,A Marriner,9,11,2,1,0,0
10_season,Tottenham,Liverpool,2,1,H,M Atkinson,6,16,0,5,0,0
10_season,Arsenal,Fulham,2,1,H,C Foy,7,5,0,0,0,0
10_season,Birmingham,Tottenham,1,1,D,K Friend,14,7,1,1,0,0
10_season,Blackburn,Wolves,3,0,H,H Webb,9,11,0,2,0,0
10_season,Chelsea,Everton,1,1,D,L Probert,7,11,1,4,0,0
10_season,Man City,Bolton,1,0,H,A Marriner,12,18,3,2,1,0
10_season,Wigan,Stoke,2,2,D,M Jones,11,10,1,4,0,0
10_season,Sunderland,West Ham,1,0,H,M Atkinson,6,8,1,3,0,0
10_season,West Brom,Newcastle,3,1,H,M Dean,11,9,0,5,0,0
10_season,Liverpool,Aston Villa,3,0,H,P Dowd,12,13,0,1,0,0
