season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,HF,AF,HY,AY,HR,AR
14_season,Arsenal,Crystal Palace,2,1,H,J Moss,13,19,2,2,0,1
14_season,Leicester,Everton,2,2,D,M Jones,16,10,1,1,0,0
14_season,Man United,Swansea,1,2,A,M Dean,14,20,2,4,0,0
14_season,QPR,Hull,0,1,A,C Pawson,10,10,1,2,0,0
14_season,Stoke,Aston Villa,0,1,A,A Taylor,14,9,0,3,0,0
14_season,West Brom,Sunderland,2,2,D,N Swarbrick,18,9,3,1,0,0
14_season,West Ham,Tottenham,0,1,A,C Foy,12,10,1,0,1,1
14_season,Liverpool,Southampton,2,1,H,M Clattenburg,8,11,1,2,0,0
14_season,Newcastle,Man City,0,2,A,M Atkinson,8,11,1,5,0,0
14_season,Burnley,Chelsea,1,3,A,M Oliver,6,7,1,1,0,0
14_season,Aston Villa,Newcastle,0,0,D,M Dean,11,8,4,0,0,1
14_season,Chelsea,Leicester,2,0,H,L Mason,11,11,0,1,0,0
14_season,Crystal Palace,West Ham,1,3,A,M Clattenburg,14,11,1,3,0,0
14_season,Everton,Arsenal,2,2,D,K Friend,10,18,1,4,0,0
14_season,Southampton,West Brom,0,0,D,R East,14,15,1,2,0,0
14_season,Swansea,Burnley,1,0,H,C Pawson,14,13,2,1,0,0
14_season,Hull,Stoke,1,1,D,J Moss,10,10,1,3,1,0
14_season,Sunderland,Man United,1,1,D,M Atkinson,10,15,0,2,0,0
14_season,Tottenham,QPR,4,0,H,A Taylor,12,6,0,1,0,0
14_season,Man City,Liverpool,3,1,H,M Oliver,13,7,1,1,0,0
14_season,Burnley,Man United,0,0,D,C Foy,10,14,2,2,0,0
14_season,Everton,Chelsea,3,6,A,J Moss,7,16,1,3,0,0
14_season,Man City,Stoke,0,1,A,L Mason,14,5,2,1,0,0
14_season,Newcastle,Crystal Palace,3,3,D,M Jones,12,19,1,3,0,0
14_season,QPR,Sunderland,1,0,H,R Madley,8,9,1,2,0,0
14_season,Swansea,West Brom,3,0,H,P Tierney,10,8,1,2,0,0
14_season,West Ham,Southampton,1,3,A,M Dean,11,13,2,1,0,0
14_season,Aston Villa,Hull,2,1,H,M Clattenburg,9,10,1,4,0,0
14_season,Leicester,Arsenal,1,1,D,A Taylor,14,6,3,1,0,0
14_season,Tottenham,Liverpool,0,3,A,P Dowd,14,11,0,4,0,0
14_season,Arsenal,Man City,2,2,D,M Clattenburg,11,15,3,4,0,0
14_season,Chelsea,Swansea,4,2,H,K Friend,12,11,0,3,0,0
14_season,Crystal Palace,Burnley,0,0,D,M Dean,12,10,2,3,0,0
14_season,Liverpool,Aston Villa,0,1,A,L Mason,9,10,2,1,0,0
14_season,Southampton,Newcastle,4,0,H,C Foy,15,7,0,2,0,0
14_season,Stoke,Leicester,0,1,A,M Oliver,8,15,3,0,0,0
14_season,Sunderland,Tottenham,2,2,D,C Pawson,10,13,5,1,0,0
14_season,West Brom,Everton,0,2,A,A Taylor,12,8,2,3,0,0
14_season,Man United,QPR,4,0,H,P Dowd,11,8,1,0,0,0
14_season,Hull,West Ham,2,2,D,M Atkinson,12,7,3,1,0,0
14_season,Aston Villa,Arsenal,0,3,A,M Jones,11,9,1,3,0,0
14_season,Burnley,Sunderland,0,0,D,A Taylor,14,14,1,2,0,0
14_season,Newcastle,Hull,2,2,D,N Swarbrick,11,11,4,2,0,0
14_season,QPR,Stoke,2,2,D,M Atkinson,6,15,2,4,0,0
14_season,Swansea,Southampton,0,1,A,J Moss,11,15,0,4,1,0
14_season,West Ham,Liverpool,3,1,H,C Pawson,16,11,4,1,0,0
14_season,Everton,Crystal Palace,2,3,A,M Oliver,8,13,2,2,0,0
14_season,Leicester,Man United,5,3,H,M Clattenburg,11,9,1,1,0,1
14_season,Man City,Chelsea,1,1,D,M Dean,16,12,3,4,1,0
14_season,Tottenham,West Brom,0,1,A,K Friend,12,7,2,2,0,0
14_season,Arsenal,Tottenham,1,1,D,M Oliver,7,16,3,6,0,0
14_season,Chelsea,Aston Villa,3,0,H,P Dowd,11,9,2,2,0,0
14_season,Crystal Palace,Leicester,2,0,H,K Stroud,14,9,0,2,0,0
14_season,Hull,Man City,2,4,A,A Taylor,10,6,0,2,0,0
14_season,Liverpool,Everton,1,1,D,M Atkinson,8,9,2,1,0,0
14_season,Man United,West Ham,2,1,H,L Mason,10,12,1,3,1,0
14_season,Southampton,QPR,2,1,H,M Clattenburg,12,11,2,1,0,0
14_season,Sunderland,Swansea,0,0,D,C Foy,13,15,2,1,0,1
14_season,West Brom,Burnley,4,0,H,J Moss,7,9,1,2,0,0
14_season,Stoke,Newcastle,1,0,H,C Pawson,20,15,1,2,0,0
14_season,Aston Villa,Man City,0,2,A,C Foy,4,6,0,1,0,0
14_season,Hull,Crystal Palace,2,0,H,M Dean,6,14,1,2,0,0
14_season,Leicester,Burnley,2,2,D,P Dowd,16,12,2,2,0,0
14_season,Liverpool,West Brom,2,1,H,M Oliver,12,15,2,2,0,0
