season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,HF,AF,HY,AY,HR,AR
17_season,Arsenal,Leicester,4,3,H,M Dean,9,12,0,1,0,0
17_season,Brighton,Man City,0,2,A,M Oliver,6,9,0,2,0,0
17_season,Chelsea,Burnley,2,3,A,C Pawson,16,11,3,3,2,0
17_season,Crystal Palace,Huddersfield,0,3,A,J Moss,7,19,1,3,0,0
17_season,Everton,Stoke,1,0,H,N Swarbrick,13,10,1,1,0,0
17_season,Southampton,Swansea,0,0,D,M Jones,10,13,2,1,0,0
17_season,Watford,Liverpool,3,3,D,A Taylor,14,8,0,3,0,0
17_season,West Brom,Bournemouth,1,0,H,R Madley,15,3,3,1,0,0
17_season,Man United,West Ham,4,0,H,M Atkinson,19,7,2,2,0,0
17_season,Newcastle,Tottenham,0,2,A,A Marriner,6,10,1,2,1,0
17_season,Bournemouth,Watford,0,2,A,R East,6,14,1,3,0,0
17_season,Burnley,West Brom,0,1,A,M Atkinson,11,11,1,0,0,1
17_season,Leicester,Brighton,2,0,H,L Probert,8,10,1,0,0,0
17_season,Liverpool,Crystal Palace,1,0,H,K Friend,12,13,1,3,0,0
17_season,Southampton,West Ham,3,2,H,L Mason,18,10,1,1,0,1
17_season,Stoke,Arsenal,1,0,H,A Marriner,6,11,0,0,0,0
17_season,Swansea,Man United,0,4,A,J Moss,12,11,1,1,0,0
17_season,Huddersfield,Newcastle,1,0,H,C Pawson,13,10,3,4,0,0
17_season,Tottenham,Chelsea,1,2,A,A Taylor,14,21,3,3,0,0
17_season,Man City,Everton,1,1,D,R Madley,7,9,1,2,1,1
17_season,Bournemouth,Man City,1,2,A,M Dean,13,14,5,4,0,1
17_season,Crystal Palace,Swansea,0,2,A,A Marriner,9,6,4,1,0,0
17_season,Huddersfield,Southampton,0,0,D,S Attwell,10,10,0,1,0,0
17_season,Man United,Leicester,2,0,H,M Oliver,8,7,1,2,0,0
17_season,Newcastle,West Ham,3,0,H,N Swarbrick,17,11,1,3,0,0
17_season,Watford,Brighton,0,0,D,G Scott,7,18,0,1,1,0
17_season,Chelsea,Everton,2,0,H,J Moss,12,7,2,2,0,0
17_season,Liverpool,Arsenal,4,0,H,C Pawson,6,9,2,4,0,0
17_season,Tottenham,Burnley,1,1,D,L Mason,9,9,0,0,0,0
17_season,West Brom,Stoke,1,1,D,A Taylor,10,9,2,2,0,0
17_season,Arsenal,Bournemouth,3,0,H,A Taylor,14,8,0,1,0,0
17_season,Brighton,West Brom,3,1,H,C Kavanagh,9,4,2,0,0,0
17_season,Everton,Tottenham,0,3,A,G Scott,14,14,3,1,0,0
17_season,Leicester,Chelsea,1,2,A,L Mason,11,8,1,0,0,0
17_season,Man City,Liverpool,5,0,H,J Moss,10,9,2,2,0,1
17_season,Southampton,Watford,0,2,A,L Probert,8,11,0,0,0,0
17_season,Stoke,Man United,2,2,D,N Swarbrick,10,10,0,0,0,0
