season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,HF,AF,HY,AY,HR,AR
13_season,Arsenal,Aston Villa,1,3,A,A Taylor,15,18,4,5,1,0
13_season,Liverpool,Stoke,1,0,H,M Atkinson,11,11,1,1,0,0
13_season,Norwich,Everton,2,2,D,M Oliver,13,10,2,0,0,0
13_season,Sunderland,Fulham,0,1,A,N Swarbrick,14,14,0,3,0,0
13_season,Swansea,Man United,1,4,A,P Dowd,13,10,1,3,0,0
13_season,West Brom,Southampton,0,1,A,K Friend,14,24,4,0,0,0
13_season,West Ham,Cardiff,2,0,H,H Webb,10,7,0,1,0,0
13_season,Chelsea,Hull,2,0,H,J Moss,7,16,0,1,0,0
13_season,Crystal Palace,Tottenham,0,1,A,M Clattenburg,6,9,1,0,0,0
13_season,Man City,Newcastle,4,0,H,A Marriner,9,7,2,3,0,1
13_season,Chelsea,Aston Villa,2,1,H,K Friend,12,13,1,4,0,0
13_season,Aston Villa,Liverpool,0,1,A,M Clattenburg,9,8,3,3,0,0
13_season,Everton,West Brom,0,0,D,R East,14,15,1,1,0,0
13_season,Fulham,Arsenal,1,3,A,H Webb,10,8,2,2,0,0
13_season,Hull,Norwich,1,0,H,M Jones,14,19,1,1,1,0
13_season,Newcastle,West Ham,0,0,D,P Dowd,12,14,0,1,0,0
13_season,Southampton,Sunderland,1,1,D,L Mason,12,13,2,2,0,0
13_season,Stoke,Crystal Palace,2,1,H,A Marriner,13,6,3,0,0,0
13_season,Cardiff,Man City,3,2,H,L Probert,2,9,0,0,0,0
13_season,Tottenham,Swansea,1,0,H,N Swarbrick,10,15,1,4,0,0
13_season,Man United,Chelsea,0,0,D,M Atkinson,9,9,0,2,0,0
13_season,Cardiff,Everton,0,0,D,A Taylor,11,9,1,1,0,0
13_season,Crystal Palace,Sunderland,3,1,H,L Probert,6,6,1,0,0,1
13_season,Man City,Hull,2,0,H,P Dowd,15,14,2,3,0,0
13_season,Newcastle,Fulham,1,0,H,C Foy,13,9,2,2,0,0
13_season,Norwich,Southampton,1,0,H,H Webb,11,15,0,0,0,0
13_season,West Ham,Stoke,0,1,A,J Moss,10,12,2,1,0,0
13_season,Arsenal,Tottenham,1,0,H,M Oliver,15,14,2,2,0,0
13_season,Liverpool,Man United,1,0,H,A Marriner,15,15,2,4,0,0
13_season,West Brom,Swansea,0,2,A,M Dean,10,14,4,3,0,0
13_season,Aston Villa,Newcastle,1,2,A,M Dean,9,11,1,4,0,0
13_season,Everton,Chelsea,1,0,H,H Webb,10,12,0,4,0,0
13_season,Fulham,West Brom,1,1,D,L Probert,9,12,0,1,0,0
13_season,Hull,Cardiff,1,1,D,R Madley,8,8,1,2,0,0
13_season,Man United,Crystal Palace,2,0,H,J Moss,8,11,1,2,0,1
13_season,Stoke,Man City,0,0,D,M Clattenburg,13,11,1,1,0,0
13_season,Sunderland,Arsenal,1,3,A,M Atkinson,12,10,1,2,0,0
13_season,Tottenham,Norwich,2,0,H,L Mason,2,12,1,3,0,0
13_season,Southampton,West Ham,0,0,D,A Marriner,12,10,1,3,0,0
13_season,Swansea,Liverpool,2,2,D,M Oliver,7,10,2,3,0,0
