season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,HF,AF,HY,AY,HR,AR
11_season,Blackburn,Wolves,1,2,A,K Friend,14,10,4,2,0,0
11_season,Fulham,Aston Villa,0,0,D,L Mason,10,18,2,4,0,0
11_season,Liverpool,Sunderland,1,1,D,P Dowd,17,12,4,4,0,0
11_season,Newcastle,Arsenal,0,0,D,P Walton,9,11,3,5,0,1
11_season,QPR,Bolton,0,4,A,M Atkinson,9,16,1,2,1,0
11_season,Wigan,Norwich,1,1,D,S Attwell,11,8,2,2,0,0
11_season,Stoke,Chelsea,0,0,D,M Halsey,12,12,2,2,0,0
11_season,West Brom,Man United,1,2,A,M Jones,16,9,3,2,0,0
11_season,Man City,Swansea,4,0,H,M Dean,9,2,0,0,0,0
11_season,Arsenal,Liverpool,0,2,A,M Atkinson,11,6,2,2,1,0
11_season,Aston Villa,Blackburn,3,1,H,S Attwell,9,13,3,0,0,0
11_season,Chelsea,West Brom,2,1,H,L Mason,12,8,2,4,0,0
11_season,Everton,QPR,0,1,A,K Friend,12,9,1,1,0,0
11_season,Sunderland,Newcastle,0,1,A,H Webb,17,7,3,3,1,0
11_season,Swansea,Wigan,0,0,D,P Dowd,8,18,0,3,0,0
11_season,Bolton,Man City,2,3,A,M Jones,19,14,2,0,0,0
11_season,Norwich,Stoke,1,1,D,N Swarbrick,13,12,0,2,1,0
11_season,Wolves,Fulham,2,0,H,M Dean,7,10,2,2,0,0
11_season,Man United,Tottenham,3,0,H,L Probert,12,9,1,2,0,0
11_season,Aston Villa,Wolves,0,0,D,M Atkinson,10,9,1,3,0,0
11_season,Blackburn,Everton,0,1,A,L Mason,17,13,5,2,0,0
11_season,Chelsea,Norwich,3,1,H,M Jones,17,14,2,2,0,1
11_season,Liverpool,Bolton,3,1,H,L Probert,5,7,0,2,0,0
11_season,Swansea,Sunderland,0,0,D,M Halsey,7,10,1,1,0,0
11_season,Wigan,QPR,2,0,H,M Oliver,13,8,2,0,0,0
11_season,Man United,Arsenal,8,2,H,H Webb,9,7,2,3,0,1
11_season,Newcastle,Fulham,2,1,H,K Friend,19,8,2,1,0,0
11_season,Tottenham,Man City,1,5,A,P Dowd,11,9,2,4,0,0
11_season,West Brom,Stoke,0,1,A,M Dean,9,12,0,0,0,0
11_season,Arsenal,Swansea,1,0,H,S Attwell,10,7,3,2,0,0
11_season,Bolton,Man United,0,5,A,A Marriner,14,1,2,0,0,0
11_season,Everton,Aston Villa,2,2,D,M Oliver,13,11,1,1,0,0
11_season,Man City,Wigan,3,0,H,M Atkinson,6,9,0,0,0,0
11_season,Stoke,Liverpool,1,0,H,M Clattenburg,12,13,0,1,0,0
11_season,Sunderland,Chelsea,1,2,A,L Probert,7,3,1,1,0,0
11_season,Wolves,Tottenham,0,2,A,P Walton,5,12,3,2,0,0
11_season,Fulham,Blackburn,1,1,D,H Webb,7,12,3,1,0,0
11_season,Norwich,West Brom,0,1,A,M Halsey,10,11,1,2,0,0
11_season,QPR,Newcastle,0,0,D,P Dowd,10,15,1,3,0,0
11_season,Aston Villa,Newcastle,1,1,D,N Swarbrick,13,10,1,1,0,0
11_season,Blackburn,Arsenal,4,3,H,A Marriner,14,9,2,1,0,0
