season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,HF,AF,HY,AY,HR,AR
12_season,Arsenal,Sunderland,0,0,D,C Foy,12,8,0,0,0,0
12_season,Fulham,Norwich,5,0,H,M Oliver,12,11,0,0,0,0
12_season,Newcastle,Tottenham,2,1,H,M Atkinson,12,8,2,2,0,0
12_season,QPR,Swansea,0,5,A,L Probert,11,14,2,2,0,0
12_season,Reading,Stoke,1,1,D,K Friend,9,14,2,4,0,1
12_season,West Brom,Liverpool,3,0,H,P Dowd,10,11,1,4,0,1
12_season,West Ham,Aston Villa,1,0,H,M Dean,17,8,0,1,0,0
12_season,Man City,Southampton,3,2,H,H Webb,4,6,1,2,0,0
12_season,Wigan,Chelsea,0,2,A,M Jones,16,11,2,2,0,0
12_season,Everton,Man United,1,0,H,A Marriner,12,11,1,2,0,0
12_season,Chelsea,Reading,4,2,H,L Mason,11,14,0,2,0,0
12_season,Aston Villa,Everton,1,3,A,M Oliver,10,7,1,0,1,0
12_season,Chelsea,Newcastle,2,0,H,P Dowd,8,10,1,0,0,0
12_season,Man United,Fulham,3,2,H,K Friend,12,7,0,1,0,0
12_season,Norwich,QPR,1,1,D,M Clattenburg,15,14,0,2,0,0
12_season,Southampton,Wigan,0,2,A,A Taylor,11,9,0,0,0,0
12_season,Swansea,West Ham,3,0,H,M Atkinson,13,17,2,4,0,0
12_season,Tottenham,West Brom,1,1,D,M Dean,8,7,1,2,0,0
12_season,Liverpool,Man City,2,2,D,A Marriner,10,7,1,0,0,0
12_season,Stoke,Arsenal,0,0,D,L Mason,9,9,2,0,0,0
12_season,Man City,QPR,3,1,H,C Foy,12,3,2,1,0,0
12_season,Swansea,Sunderland,2,2,D,R East,11,7,1,1,1,0
12_season,Tottenham,Norwich,1,1,D,M Halsey,7,12,1,0,1,0
12_season,West Brom,Everton,2,0,H,J Moss,11,15,1,4,0,0
12_season,West Ham,Fulham,3,0,H,A Taylor,12,5,0,0,0,0
12_season,Wigan,Stoke,2,2,D,M Atkinson,13,11,1,2,0,0
12_season,Liverpool,Arsenal,0,2,A,H Webb,12,7,2,2,0,0
12_season,Newcastle,Aston Villa,1,1,D,L Probert,6,20,1,4,0,0
12_season,Southampton,Man United,2,3,A,M Dean,9,4,1,0,0,0
12_season,Arsenal,Southampton,6,1,H,K Friend,4,7,0,0,0,0
12_season,Aston Villa,Swansea,2,0,H,L Mason,11,4,3,1,0,0
12_season,Fulham,West Brom,3,0,H,R East,6,10,0,0,0,1
12_season,Man United,Wigan,4,0,H,M Oliver,10,14,2,2,0,0
12_season,Norwich,West Ham,0,0,D,C Foy,10,12,0,1,0,0
12_season,QPR,Chelsea,0,0,D,A Marriner,16,17,0,2,0,0
12_season,Stoke,Man City,1,1,D,M Clattenburg,12,12,0,1,0,0
12_season,Sunderland,Liverpool,1,1,D,M Atkinson,18,10,1,2,0,0
12_season,Reading,Tottenham,1,3,A,H Webb,4,9,0,1,0,0
12_season,Everton,Newcastle,2,2,D,M Jones,16,12,3,3,0,0
