season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,HF,AF,HY,AY,HR,AR
18_season,Man United,Leicester,2,1,H,A Marriner,11,8,2,1,0,0
18_season,Bournemouth,Cardiff,2,0,H,K Friend,11,9,1,1,0,0
18_season,Fulham,Crystal Palace,0,2,A,M Dean,9,11,1,2,0,0
18_season,Huddersfield,Chelsea,0,3,A,C Kavanagh,9,8,2,1,0,0
18_season,Newcastle,Tottenham,1,2,A,M Atkinson,11,12,2,2,0,0
18_season,Watford,Brighton,2,0,H,J Moss,10,16,2,2,0,0
18_season,Wolves,Everton,2,2,D,C Pawson,8,7,0,1,0,1
18_season,Arsenal,Man City,0,2,A,M Oliver,11,14,2,2,0,0
18_season,Liverpool,West Ham,4,0,H,A Taylor,14,9,1,2,0,0
18_season,Southampton,Burnley,0,0,D,G Scott,10,9,0,1,0,0
18_season,Cardiff,Newcastle,0,0,D,C Pawson,14,16,2,2,0,1
18_season,Chelsea,Arsenal,3,2,H,M Atkinson,12,9,0,2,0,0
18_season,Everton,Southampton,2,1,H,L Mason,8,20,0,5,0,0
18_season,Leicester,Wolves,2,0,H,M Dean,10,8,2,1,1,0
18_season,Tottenham,Fulham,3,1,H,A Taylor,9,5,0,0,0,0
18_season,West Ham,Bournemouth,1,2,A,S Attwell,14,10,6,2,0,0
18_season,Brighton,Man United,3,2,H,K Friend,16,13,1,1,0,0
18_season,Burnley,Watford,1,3,A,P Tierney,8,19,1,2,0,0
18_season,Man City,Huddersfield,6,1,H,A Marriner,9,4,0,2,0,0
18_season,Crystal Palace,Liverpool,0,2,A,M Oliver,6,13,1,1,1,0
18_season,Arsenal,West Ham,3,1,H,G Scott,16,13,1,3,0,0
18_season,Bournemouth,Everton,2,2,D,L Probert,12,10,0,3,1,1
18_season,Huddersfield,Cardiff,0,0,D,M Oliver,8,10,0,1,1,0
18_season,Liverpool,Brighton,1,0,H,C Kavanagh,8,14,1,1,0,0
18_season,Southampton,Leicester,1,2,A,J Moss,13,11,1,1,1,0
18_season,Wolves,Man City,1,1,D,M Atkinson,13,8,1,2,0,0
18_season,Fulham,Burnley,4,2,H,D Coote,11,8,2,1,0,0
18_season,Newcastle,Chelsea,1,2,A,P Tierney,16,8,3,1,0,0
18_season,Watford,Crystal Palace,2,1,H,A Taylor,14,11,4,2,0,0
18_season,Man United,Tottenham,0,3,A,C Pawson,11,16,2,4,0,0
18_season,Brighton,Fulham,2,2,D,L Probert,12,14,3,3,0,0
18_season,Chelsea,Bournemouth,2,0,H,L Mason,10,7,2,2,0,0
18_season,Crystal Palace,Southampton,0,2,A,M Atkinson,11,12,1,1,0,0
18_season,Everton,Huddersfield,1,1,D,S Attwell,13,14,3,3,0,0
18_season,Leicester,Liverpool,1,2,A,P Tierney,9,12,3,2,0,0
18_season,Man City,Newcastle,2,1,H,K Friend,5,13,0,0,0,0
18_season,West Ham,Wolves,0,1,A,C Kavanagh,10,11,2,1,0,0
18_season,Burnley,Man United,0,2,A,J Moss,7,13,2,3,0,1
18_season,Cardiff,Arsenal,2,3,A,A Taylor,12,14,3,4,0,0
18_season,Watford,Tottenham,2,1,H,A Marriner,9,8,2,1,0,0
18_season,Bournemouth,Leicester,4,2,H,C Pawson,13,15,3,2,0,1
18_season,Chelsea,Cardiff,4,1,H,J Moss,8,10,0,0,0,0
18_season,Huddersfield,Crystal Palace,0,1,A,L Mason,11,17,1,2,0,0
18_season,Man City,Fulham,3,0,H,S Attwell,7,7,0,0,0,0
18_season,Newcastle,Arsenal,1,2,A,L Probert,13,11,0,0,0,0
18_season,Tottenham,Liverpool,1,2,A,M Oliver,17,16,0,0,0,0
18_season,Watford,Man United,1,2,A,M Dean,9,11,2,1,0,1
18_season,Everton,West Ham,1,3,A,M Atkinson,15,12,2,5,0,0
18_season,Wolves,Burnley,1,0,H,A Marriner,10,9,2,4,0,0
18_season,Southampton,Brighton,2,2,D,A Taylor,10,13,2,3,0,0
18_season,Brighton,Tottenham,1,2,A,C Kavanagh,15,9,2,1,0,0
18_season,Burnley,Bournemouth,4,0,H,A Taylor,17,6,2,0,0,0
18_season,Cardiff,Man City,0,5,A,M Oliver,6,4,1,1,0,0
18_season,Crystal Palace,Newcastle,0,0,D,A Marriner,8,11,1,1,0,0
18_season,Fulham,Watford,1,1,D,M Atkinson,11,9,2,1,0,0
18_season,Leicester,Huddersfield,3,1,H,D Coote,10,16,2,1,0,0
18_season,Liverpool,Southampton,3,0,H,P Tierney,7,10,0,2,0,0
18_season,Man United,Wolves,1,1,D,K Friend,5,17,1,1,0,0
18_season,Arsenal,Everton,2,0,H,J Moss,17,12,2,1,0,0
18_season,West Ham,Chelsea,0,0,D,M Dean,11,9,2,1,0,0
18_season,Arsenal,Watford,2,0,H,A Taylor,11,17,2,2,0,0
18_season,Chelsea,Liverpool,1,1,D,A Marriner,7,9,0,2,0,0
18_season,Everton,Fulham,3,0,H,R East,13,13,0,3,0,0
18_season,Huddersfield,Tottenham,0,2,A,C Pawson,17,16,2,2,0,0
18_season,Man City,Brighton,2,0,H,L Mason,4,10,0,3,0,0
18_season,Newcastle,Leicester,0,2,A,S Hooper,11,5,0,0,0,0
18_season,West Ham,Man United,3,1,H,M Oliver,12,12,0,1,0,0
18_season,Wolves,Southampton,2,0,H,S Attwell,11,7,3,1,0,0
18_season,Cardiff,Burnley,1,2,A,M Atkinson,11,15,1,3,0,0
18_season,Bournemouth,Crystal Palace,2,1,H,M Dean,9,12,3,4,0,0
18_season,Brighton,West Ham,1,0,H,K Friend,12,8,3,2,0,0
18_season,Burnley,Huddersfield,1,1,D,C Kavanagh,8,11,2,2,0,0
18_season,Crystal Palace,Wolves,0,1,A,M Oliver,11,13,3,4,0,0
18_season,Leicester,Everton,1,2,A,A Marriner,10,11,2,1,1,0
18_season,Man United,Newcastle,3,2,H,A Taylor,16,8,2,2,0,0
18_season,Tottenham,Cardiff,1,0,H,M Dean,7,11,2,1,0,1
18_season,Watford,Bournemouth,0,4,A,J Moss,11,9,3,1,1,0
18_season,Fulham,Arsenal,1,5,A,P Tierney,11,12,2,0,0,0
18_season,Liverpool,Man City,0,0,D,M Atkinson,10,10,1,3,0,0
18_season,Southampton,Chelsea,0,3,A,C Pawson,13,11,6,0,0,0
18_season,Bournemouth,Southampton,0,0,D,L Probert,10,14,1,2,0,0
18_season,Cardiff,Fulham,4,2,H,K Friend,15,16,3,3,0,0
18_season,Chelsea,Man United,2,2,D,M Dean,9,17,2,5,0,0
18_season,Huddersfield,Liverpool,0,1,A,M Oliver,9,6,0,2,0,0
18_season,Man City,Burnley,5,0,H,J Moss,11,5,2,2,0,0
18_season,Newcastle,Brighton,0,1,A,A Marriner,13,17,0,2,0,0
18_season,West Ham,Tottenham,0,1,A,M Atkinson,8,10,3,0,0,0
18_season,Wolves,Watford,0,2,A,L Mason,23,13,3,1,0,0
18_season,Everton,Crystal Palace,2,0,H,A Taylor,13,17,2,1,0,0
18_season,Arsenal,Leicester,3,1,H,C Kavanagh,10,10,2,2,0,0
18_season,Brighton,Wolves,1,0,H,A Taylor,11,8,3,0,0,0
18_season,Fulham,Bournemouth,0,3,A,A Marriner,16,3,2,1,1,0
18_season,Leicester,West Ham,1,1,D,M Oliver,17,5,1,1,0,1
18_season,Liverpool,Cardiff,4,1,H,S Attwell,6,4,0,0,0,0
18_season,Southampton,Newcastle,0,0,D,C Kavanagh,9,12,0,1,0,0
18_season,Watford,Huddersfield,3,0,H,M Dean,9,13,1,2,0,0
18_season,Burnley,Chelsea,0,4,A,C Pawson,14,10,4,2,0,0
18_season,Crystal Palace,Arsenal,2,2,D,M Atkinson,10,16,1,2,0,0
18_season,Man United,Everton,2,1,H,J Moss,15,12,2,1,0,0
18_season,Tottenham,Man City,0,1,A,K Friend,13,13,2,2,0,0
18_season,Arsenal,Liverpool,1,1,D,A Marriner,7,7,1,1,0,0
18_season,Bournemouth,Man United,1,2,A,P Tierney,12,12,4,3,0,0
