season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,HF,AF,HY,AY,HR,AR
19_season,Liverpool,Norwich,4,1,H,M Oliver,9,9,0,2,0,0
19_season,West Ham,Man City,0,5,A,M Dean,6,13,2,2,0,0
19_season,Bournemouth,Sheffield United,1,1,D,K Friend,10,19,2,1,0,0
19_season,Burnley,Southampton,3,0,H,G Scott,6,12,0,0,0,0
19_season,Crystal Palace,Everton,0,0,D,J Moss,16,14,2,1,0,1
19_season,Watford,Brighton,0,3,A,C Pawson,15,11,0,1,0,0
19_season,Tottenham,Aston Villa,3,1,H,C Kavanagh,13,9,1,0,0,0
19_season,Leicester,Wolves,0,0,D,A Marriner,3,13,0,2,0,0
19_season,Newcastle,Arsenal,0,1,A,M Atkinson,12,7,1,3,0,0
19_season,Man United,Chelsea,4,0,H,A Taylor,15,13,3,4,0,0
19_season,Arsenal,Burnley,2,1,H,M Dean,13,11,2,1,0,0
19_season,Aston Villa,Bournemouth,1,2,A,M Atkinson,10,13,0,2,0,0
19_season,Brighton,West Ham,1,1,D,A Taylor,11,10,0,2,0,0
19_season,Everton,Watford,1,0,H,L Mason,11,11,2,3,0,0
19_season,Norwich,Newcastle,3,1,H,S Attwell,9,11,1,3,0,0
19_season,Southampton,Liverpool,1,2,A,A Marriner,10,6,2,1,0,0
19_season,Man City,Tottenham,2,2,D,M Oliver,14,4,1,0,0,0
19_season,Sheffield United,Crystal Palace,1,0,H,D Coote,16,11,3,1,0,0
19_season,Chelsea,Leicester,1,1,D,O Langford,9,14,1,0,0,0
19_season,Wolves,Man United,1,1,D,J Moss,17,8,2,2,0,0
19_season,Aston Villa,Everton,2,0,H,M Oliver,10,18,2,3,0,0
19_season,Norwich,Chelsea,2,3,A,M Atkinson,9,9,1,1,0,0
19_season,Brighton,Southampton,0,2,A,K Friend,9,10,1,3,1,0
19_season,Man United,Crystal Palace,1,2,A,P Tierney,8,18,2,4,0,0
19_season,Sheffield United,Leicester,1,2,A,A Madley,11,6,1,0,0,0
19_season,Watford,West Ham,1,3,A,C Kavanagh,12,11,1,1,0,0
19_season,Liverpool,Arsenal,3,1,H,A Taylor,8,5,1,1,0,0
19_season,Bournemouth,Man City,1,3,A,A Marriner,7,13,1,3,0,0
19_season,Tottenham,Newcastle,0,1,A,M Dean,10,5,2,2,0,0
19_season,Wolves,Burnley,1,1,D,C Pawson,9,11,0,2,0,0
19_season,Southampton,Man United,1,1,D,M Dean,17,7,1,2,1,0
19_season,Chelsea,Sheffield United,2,2,D,S Attwell,6,11,0,1,0,0
19_season,Crystal Palace,Aston Villa,1,0,H,K Friend,15,16,2,4,0,1
19_season,Leicester,Bournemouth,3,1,H,P Bankes,9,11,1,3,0,0
19_season,Man City,Brighton,4,0,H,J Moss,10,6,1,1,0,0
19_season,Newcastle,Watford,1,1,D,G Scott,5,11,2,3,0,0
19_season,West Ham,Norwich,2,0,H,P Tierney,16,10,2,1,0,0
19_season,Burnley,Liverpool,0,3,A,C Kavanagh,10,16,0,0,0,0
19_season,Everton,Wolves,3,2,H,A Taylor,12,12,1,4,0,1
