season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,HF,AF,HY,AY,HR,AR
15_season,Bournemouth,Aston Villa,0,1,A,M Clattenburg,13,13,3,4,0,0
15_season,Chelsea,Swansea,2,2,D,M Oliver,15,16,1,3,1,0
15_season,Everton,Watford,2,2,D,M Jones,7,13,1,2,0,0
15_season,Leicester,Sunderland,4,2,H,L Mason,13,17,2,4,0,0
15_season,Man United,Tottenham,1,0,H,J Moss,12,12,2,3,0,0
15_season,Norwich,Crystal Palace,1,3,A,S Hooper,14,20,1,0,0,0
15_season,Arsenal,West Ham,0,2,A,M Atkinson,12,9,1,3,0,0
15_season,Newcastle,Southampton,2,2,D,C Pawson,9,12,2,4,0,0
15_season,Stoke,Liverpool,0,1,A,A Taylor,9,16,2,4,0,0
15_season,West Brom,Man City,0,3,A,M Dean,12,9,4,1,0,0
15_season,Aston Villa,Man United,0,1,A,M Dean,14,10,2,2,0,0
15_season,Southampton,Everton,0,3,A,M Oliver,11,10,4,2,0,0
15_season,Sunderland,Norwich,1,3,A,K Friend,7,7,1,2,0,0
15_season,Swansea,Newcastle,2,0,H,M Jones,11,8,2,1,0,1
15_season,Tottenham,Stoke,2,2,D,R Madley,15,11,2,2,0,0
15_season,Watford,West Brom,0,0,D,P Tierney,13,10,1,2,0,0
15_season,West Ham,Leicester,1,2,A,A Taylor,11,12,1,3,1,0
15_season,Crystal Palace,Arsenal,1,2,A,L Mason,14,12,1,1,0,0
15_season,Man City,Chelsea,3,0,H,M Atkinson,19,13,4,2,0,0
15_season,Liverpool,Bournemouth,1,0,H,C Pawson,11,18,1,4,0,0
15_season,Crystal Palace,Aston Villa,2,1,H,K Stroud,12,15,3,3,0,0
15_season,Leicester,Tottenham,1,1,D,M Atkinson,7,14,1,4,0,0
15_season,Man United,Newcastle,0,0,D,C Pawson,15,11,2,2,0,0
15_season,Norwich,Stoke,1,1,D,M Dean,16,5,4,1,0,0
15_season,Sunderland,Swansea,1,1,D,N Swarbrick,16,9,4,2,0,0
15_season,West Ham,Bournemouth,3,4,A,J Moss,8,11,0,0,1,0
15_season,Everton,Man City,0,2,A,A Taylor,5,7,0,3,0,0
15_season,Watford,Southampton,0,0,D,A Marriner,10,11,0,2,0,0
15_season,West Brom,Chelsea,2,3,A,M Clattenburg,9,12,2,1,0,1
15_season,Arsenal,Liverpool,0,0,D,M Oliver,2,13,1,4,0,0
15_season,Aston Villa,Sunderland,2,2,D,R Madley,10,14,2,1,0,0
15_season,Bournemouth,Leicester,1,1,D,N Swarbrick,9,19,2,4,0,0
15_season,Chelsea,Crystal Palace,1,2,A,C Pawson,9,15,1,1,0,0
15_season,Liverpool,West Ham,0,3,A,K Friend,17,11,3,1,1,1
15_season,Man City,Watford,2,0,H,M Clattenburg,9,12,1,2,0,0
15_season,Newcastle,Arsenal,0,1,A,A Marriner,15,8,6,1,1,0
15_season,Stoke,West Brom,0,1,A,M Oliver,4,9,1,4,2,0
15_season,Tottenham,Everton,0,0,D,M Jones,20,9,4,1,0,0
15_season,Southampton,Norwich,3,0,H,J Moss,4,12,0,0,0,1
15_season,Swansea,Man United,2,1,H,M Atkinson,6,15,2,2,0,0
15_season,Arsenal,Stoke,2,0,H,J Moss,6,13,1,1,0,0
15_season,Crystal Palace,Man City,0,1,A,M Jones,13,13,2,3,0,0
15_season,Everton,Chelsea,3,1,H,A Marriner,12,12,2,2,0,0
15_season,Man United,Liverpool,3,1,H,M Oliver,6,11,1,2,0,0
15_season,Norwich,Bournemouth,3,1,H,M Atkinson,10,11,2,3,0,0
15_season,Watford,Swansea,1,0,H,R Madley,11,14,1,1,1,0
15_season,West Brom,Southampton,0,0,D,S Attwell,5,5,1,0,0,0
15_season,Leicester,Aston Villa,3,2,H,M Dean,8,13,2,1,0,0
15_season,Sunderland,Tottenham,0,1,A,C Pawson,11,12,2,1,0,0
15_season,West Ham,Newcastle,2,0,H,A Taylor,8,11,0,2,0,0
15_season,Aston Villa,West Brom,0,1,A,M Atkinson,10,11,2,3,0,0
15_season,Bournemouth,Sunderland,2,0,H,K Friend,14,15,2,4,0,1
15_season,Chelsea,Arsenal,2,0,H,M Dean,12,11,3,1,0,2
15_season,Man City,West Ham,1,2,A,R Madley,10,7,1,2,0,0
15_season,Newcastle,Watford,1,2,A,R East,8,12,1,2,0,0
15_season,Stoke,Leicester,2,2,D,A Marriner,7,12,1,4,0,0
15_season,Swansea,Everton,0,0,D,S Attwell,12,11,2,2,0,1
15_season,Liverpool,Norwich,1,1,D,A Taylor,4,13,1,2,0,0
15_season,Southampton,Man United,2,3,A,M Clattenburg,6,13,2,0,0,0
15_season,Tottenham,Crystal Palace,1,0,H,M Oliver,9,11,1,2,0,0
15_season,Leicester,Arsenal,2,5,A,C Pawson,9,12,1,1,0,0
15_season,Liverpool,Aston Villa,3,2,H,J Moss,8,13,0,0,0,0
15_season,Man United,Sunderland,3,0,H,M Jones,12,17,0,3,0,0
15_season,Newcastle,Chelsea,2,2,D,M Atkinson,12,15,1,2,0,0
15_season,Southampton,Swansea,3,1,H,R East,18,14,3,1,0,0
15_season,Stoke,Bournemouth,2,1,H,L Mason,13,11,1,0,0,0
15_season,Tottenham,Man City,4,1,H,M Clattenburg,17,6,5,1,0,0
15_season,West Ham,Norwich,2,2,D,M Dean,7,17,0,0,0,0
15_season,Watford,Crystal Palace,0,1,A,A Taylor,17,22,4,4,0,0
15_season,West Brom,Everton,2,3,A,R Madley,9,8,0,3,0,0
15_season,Aston Villa,Stoke,0,1,A,M Jones,12,12,1,0,0,0
15_season,Bournemouth,Watford,1,1,D,M Oliver,8,13,1,1,0,0
15_season,Chelsea,Southampton,1,3,A,R Madley,14,14,2,5,0,0
15_season,Crystal Palace,West Brom,2,0,H,J Moss,14,13,3,3,0,0
15_season,Man City,Newcastle,6,1,H,K Friend,13,8,3,1,0,0
15_season,Norwich,Leicester,1,2,A,M Clattenburg,4,4,0,1,0,0
15_season,Sunderland,West Ham,2,2,D,N Swarbrick,14,11,2,4,1,0
15_season,Arsenal,Man United,3,0,H,A Taylor,8,17,1,3,0,0
15_season,Everton,Liverpool,1,1,D,M Atkinson,10,19,3,3,0,0
15_season,Swansea,Tottenham,2,2,D,M Dean,8,19,1,4,0,0
15_season,Chelsea,Aston Villa,2,0,H,R East,22,17,1,3,0,0
15_season,Crystal Palace,West Ham,1,3,A,M Clattenburg,9,11,1,3,1,0
15_season,Everton,Man United,0,3,A,J Moss,12,14,2,2,0,0
15_season,Man City,Bournemouth,5,1,H,M Dean,11,5,2,1,0,0
15_season,Southampton,Leicester,2,2,D,P Tierney,16,10,2,0,0,0
15_season,Tottenham,Liverpool,0,0,D,C Pawson,15,11,1,2,0,0
15_season,Watford,Arsenal,0,3,A,M Jones,11,12,2,1,0,0
15_season,West Brom,Sunderland,1,0,H,M Atkinson,12,13,2,2,0,0
15_season,Newcastle,Norwich,6,2,H,A Taylor,10,10,1,1,0,0
15_season,Swansea,Stoke,0,1,A,R Madley,6,14,2,2,0,0
15_season,Arsenal,Everton,2,1,H,L Mason,11,14,2,0,0,1
15_season,Aston Villa,Swansea,1,2,A,N Swarbrick,10,8,2,3,0,0
15_season,Leicester,Crystal Palace,1,0,H,M Dean,7,11,3,1,0,0
15_season,Norwich,West Brom,0,1,A,K Friend,11,6,1,2,0,0
